cov	indid
1	per0
2	per1
1	per10
2	per100
1	per1000
0	per1001
2	per1002
1	per1003
2	per1004
1	per1005
1	per1006
2	per1007
2	per1008
0	per1009
2	per101
1	per1010
1	per1011
1	per1012
1	per1013
1	per1014
0	per1015
1	per1016
1	per1017
1	per1018
2	per1019
2	per102
2	per1020
1	per1021
1	per1022
1	per1023
1	per1024
1	per1025
1	per1026
1	per1027
2	per1028
2	per1029
0	per103
1	per1030
1	per1031
0	per1032
0	per1033
0	per1034
0	per1035
1	per1036
0	per1037
0	per1038
0	per1039
1	per104
2	per1040
1	per1041
1	per1042
1	per1043
1	per1044
2	per1045
1	per1046
1	per1047
2	per1048
0	per1049
0	per105
2	per1050
2	per1051
2	per1052
0	per1053
2	per1054
0	per1055
1	per1056
1	per1057
1	per1058
1	per1059
0	per106
0	per1060
1	per1061
2	per1062
1	per1063
1	per1064
1	per1065
1	per1066
1	per1067
2	per1068
2	per1069
1	per107
0	per1070
1	per1071
1	per1072
1	per1073
1	per1074
2	per1075
1	per1076
1	per1077
2	per1078
2	per1079
1	per108
1	per1080
0	per1081
2	per1082
1	per1083
0	per1084
0	per1085
1	per1086
1	per1087
1	per1088
1	per1089
1	per109
2	per1090
1	per1091
2	per1092
1	per1093
1	per1094
0	per1095
2	per1096
1	per1097
0	per1098
1	per1099
1	per11
0	per110
0	per1100
1	per1101
2	per1102
1	per1103
1	per1104
1	per1105
1	per1106
0	per1107
1	per1108
1	per1109
0	per111
2	per1110
0	per1111
2	per1112
1	per1113
1	per1114
0	per1115
1	per1116
2	per1117
0	per1118
1	per1119
1	per112
1	per1120
1	per1121
0	per1122
2	per1123
1	per1124
1	per1125
1	per1126
1	per1127
2	per1128
1	per1129
1	per113
0	per1130
0	per1131
1	per1132
1	per1133
1	per1134
1	per1135
1	per1136
0	per1137
0	per1138
1	per1139
1	per114
0	per1140
1	per1141
1	per1142
1	per1143
0	per1144
1	per1145
1	per1146
0	per1147
0	per1148
0	per1149
1	per115
1	per1150
1	per1151
2	per1152
1	per1153
1	per1154
2	per1155
2	per1156
0	per1157
1	per1158
2	per1159
1	per116
2	per1160
2	per1161
2	per1162
0	per1163
0	per1164
0	per1165
0	per1166
2	per1167
0	per1168
0	per1169
0	per117
1	per1170
1	per1171
2	per1172
2	per1173
1	per1174
2	per1175
2	per1176
0	per1177
2	per1178
0	per1179
1	per118
1	per1180
2	per1181
1	per1182
0	per1183
0	per1184
0	per1185
1	per1186
1	per1187
1	per1188
2	per1189
1	per119
1	per1190
2	per1191
1	per1192
1	per1193
0	per1194
1	per1195
1	per1196
1	per1197
1	per1198
1	per1199
1	per12
1	per120
1	per1200
0	per1201
2	per1202
0	per1203
1	per1204
1	per1205
1	per1206
1	per1207
0	per1208
2	per1209
1	per121
0	per1210
1	per1211
1	per1212
2	per1213
1	per1214
2	per1215
2	per1216
2	per1217
0	per1218
0	per1219
1	per122
2	per1220
1	per1221
1	per1222
2	per1223
2	per1224
1	per1225
1	per1226
1	per1227
1	per1228
1	per1229
2	per123
2	per1230
1	per1231
1	per1232
1	per1233
1	per1234
1	per1235
1	per1236
2	per1237
2	per1238
1	per1239
2	per124
1	per1240
0	per1241
1	per1242
1	per1243
0	per1244
1	per1245
1	per1246
1	per1247
1	per1248
0	per1249
1	per125
0	per1250
1	per1251
2	per1252
1	per1253
1	per1254
0	per1255
0	per1256
0	per1257
1	per1258
1	per1259
2	per126
1	per1260
0	per1261
1	per1262
1	per1263
0	per1264
0	per1265
2	per1266
0	per1267
2	per1268
1	per1269
1	per127
0	per1270
1	per1271
1	per1272
2	per1273
1	per1274
0	per1275
1	per1276
1	per1277
0	per1278
1	per1279
1	per128
0	per1280
1	per1281
1	per1282
1	per1283
2	per1284
1	per1285
2	per1286
1	per1287
2	per1288
0	per1289
1	per129
1	per1290
2	per1291
1	per1292
1	per1293
1	per1294
1	per1295
1	per1296
2	per1297
1	per1298
2	per1299
0	per13
1	per130
2	per1300
1	per1301
0	per1302
0	per1303
0	per1304
0	per1305
0	per1306
0	per1307
1	per1308
1	per1309
1	per131
1	per1310
1	per1311
0	per1312
2	per1313
1	per1314
1	per1315
1	per1316
1	per1317
2	per1318
1	per1319
2	per132
2	per1320
1	per1321
2	per1322
0	per1323
0	per1324
1	per1325
1	per1326
1	per1327
0	per1328
1	per1329
1	per133
1	per1330
1	per1331
0	per1332
1	per1333
1	per1334
2	per1335
1	per1336
1	per1337
0	per1338
1	per1339
2	per134
1	per1340
0	per1341
1	per1342
0	per1343
1	per1344
1	per1345
1	per1346
1	per1347
1	per1348
1	per1349
2	per135
2	per1350
1	per1351
1	per1352
2	per1353
2	per1354
1	per1355
1	per1356
1	per1357
1	per1358
1	per1359
0	per136
1	per1360
1	per1361
2	per1362
0	per1363
0	per1364
2	per1365
1	per1366
1	per1367
2	per1368
2	per1369
1	per137
1	per1370
1	per1371
1	per1372
2	per1373
2	per1374
2	per1375
1	per1376
1	per1377
1	per1378
1	per1379
1	per138
2	per1380
2	per1381
0	per1382
0	per1383
0	per1384
1	per1385
1	per1386
1	per1387
2	per1388
2	per1389
1	per139
0	per1390
1	per1391
2	per1392
1	per1393
0	per1394
1	per1395
1	per1396
1	per1397
1	per1398
0	per1399
2	per14
1	per140
1	per1400
2	per1401
1	per1402
1	per1403
0	per1404
0	per1405
1	per1406
2	per1407
1	per1408
1	per1409
2	per141
1	per1410
1	per1411
1	per1412
2	per1413
2	per1414
1	per1415
1	per1416
1	per1417
0	per1418
0	per1419
1	per142
1	per1420
2	per1421
0	per1422
2	per1423
2	per1424
1	per1425
1	per1426
1	per1427
0	per1428
2	per1429
1	per143
1	per1430
2	per1431
1	per1432
0	per1433
1	per1434
2	per1435
0	per1436
0	per1437
1	per1438
2	per1439
2	per144
0	per1440
1	per1441
1	per1442
2	per1443
0	per1444
1	per1445
1	per1446
1	per1447
2	per1448
0	per1449
1	per145
0	per1450
1	per1451
0	per1452
2	per1453
1	per1454
1	per1455
0	per1456
0	per1457
1	per1458
1	per1459
1	per146
0	per1460
2	per1461
1	per1462
2	per1463
0	per1464
0	per1465
1	per1466
1	per1467
1	per1468
2	per1469
1	per147
1	per1470
0	per1471
1	per1472
0	per1473
1	per1474
1	per1475
2	per1476
1	per1477
1	per1478
0	per1479
1	per148
0	per1480
2	per1481
2	per1482
2	per1483
1	per1484
2	per1485
0	per1486
0	per1487
0	per1488
1	per1489
0	per149
2	per1490
1	per1491
1	per1492
2	per1493
1	per1494
1	per1495
1	per1496
1	per1497
1	per1498
1	per1499
1	per15
0	per150
1	per1500
2	per1501
2	per1502
1	per1503
1	per1504
1	per1505
0	per1506
1	per1507
0	per1508
0	per1509
0	per151
1	per1510
0	per1511
1	per1512
1	per1513
0	per1514
1	per1515
0	per1516
1	per1517
1	per1518
1	per1519
0	per152
0	per1520
2	per1521
1	per1522
1	per1523
1	per1524
1	per1525
0	per1526
0	per1527
0	per1528
0	per1529
2	per153
1	per1530
0	per1531
0	per1532
0	per1533
2	per1534
0	per1535
1	per1536
1	per1537
0	per1538
1	per1539
1	per154
0	per1540
1	per1541
0	per1542
1	per1543
0	per1544
2	per1545
2	per1546
0	per1547
1	per1548
2	per1549
2	per155
0	per1550
1	per1551
0	per1552
0	per1553
1	per1554
1	per1555
0	per1556
1	per1557
1	per1558
1	per1559
0	per156
2	per1560
0	per1561
1	per1562
0	per1563
1	per1564
2	per1565
0	per1566
1	per1567
1	per1568
2	per1569
0	per157
1	per1570
2	per1571
2	per1572
2	per1573
2	per1574
1	per1575
2	per1576
0	per1577
2	per1578
2	per1579
0	per158
1	per1580
1	per1581
0	per1582
1	per1583
1	per1584
2	per1585
1	per1586
2	per1587
1	per1588
2	per1589
1	per159
1	per1590
1	per1591
0	per1592
1	per1593
2	per1594
1	per1595
0	per1596
1	per1597
2	per1598
1	per1599
2	per16
1	per160
1	per1600
0	per1601
1	per1602
2	per1603
2	per1604
1	per1605
1	per1606
2	per1607
1	per1608
1	per1609
1	per161
0	per1610
0	per1611
1	per1612
0	per1613
1	per1614
1	per1615
0	per1616
2	per1617
0	per1618
2	per1619
0	per162
1	per1620
1	per1621
0	per1622
1	per1623
0	per1624
1	per1625
0	per1626
2	per1627
1	per1628
2	per1629
2	per163
1	per1630
2	per1631
2	per1632
2	per1633
2	per1634
2	per1635
1	per1636
1	per1637
2	per1638
1	per1639
1	per164
0	per1640
2	per1641
2	per1642
1	per1643
0	per1644
1	per1645
1	per1646
2	per1647
1	per1648
1	per1649
1	per165
0	per1650
0	per1651
1	per1652
1	per1653
1	per1654
2	per1655
2	per1656
1	per1657
1	per1658
1	per1659
1	per166
2	per1660
1	per1661
1	per1662
0	per1663
2	per1664
1	per1665
2	per1666
1	per1667
2	per1668
1	per1669
1	per167
0	per1670
1	per1671
2	per1672
2	per1673
1	per1674
0	per1675
1	per1676
0	per1677
1	per1678
0	per1679
1	per168
2	per1680
2	per1681
1	per1682
2	per1683
2	per1684
1	per1685
1	per1686
1	per1687
1	per1688
1	per1689
0	per169
1	per1690
1	per1691
1	per1692
0	per1693
1	per1694
1	per1695
2	per1696
1	per1697
0	per1698
1	per1699
1	per17
1	per170
1	per1700
0	per1701
1	per1702
1	per1703
1	per1704
2	per1705
1	per1706
1	per1707
1	per1708
0	per1709
2	per171
1	per1710
2	per1711
2	per1712
2	per1713
1	per1714
2	per1715
2	per1716
2	per1717
1	per1718
1	per1719
2	per172
1	per1720
0	per1721
1	per1722
1	per1723
1	per1724
0	per1725
0	per1726
2	per1727
2	per1728
2	per1729
1	per173
0	per1730
1	per1731
1	per1732
1	per1733
0	per1734
2	per1735
1	per1736
0	per1737
1	per1738
2	per1739
1	per174
2	per1740
1	per1741
1	per1742
1	per1743
0	per1744
1	per1745
1	per1746
1	per1747
0	per1748
1	per1749
2	per175
0	per1750
0	per1751
1	per1752
1	per1753
0	per1754
0	per1755
1	per1756
1	per1757
1	per1758
1	per1759
1	per176
1	per1760
1	per1761
1	per1762
0	per1763
0	per1764
1	per1765
0	per1766
2	per1767
1	per1768
1	per1769
1	per177
1	per1770
1	per1771
2	per1772
1	per1773
1	per1774
2	per1775
2	per1776
1	per1777
2	per1778
0	per1779
1	per178
1	per1780
0	per1781
1	per1782
2	per1783
2	per1784
0	per1785
2	per1786
1	per1787
0	per1788
1	per1789
0	per179
2	per1790
0	per1791
0	per1792
2	per1793
1	per1794
2	per1795
0	per1796
2	per1797
1	per1798
2	per1799
1	per18
0	per180
0	per1800
1	per1801
0	per1802
2	per1803
1	per1804
2	per1805
1	per1806
1	per1807
1	per1808
1	per1809
1	per181
1	per1810
0	per1811
2	per1812
1	per1813
0	per1814
1	per1815
1	per1816
1	per1817
1	per1818
1	per1819
1	per182
1	per1820
1	per1821
2	per1822
1	per1823
1	per1824
1	per1825
1	per1826
0	per1827
1	per1828
1	per1829
1	per183
2	per1830
2	per1831
1	per1832
1	per1833
0	per1834
1	per1835
1	per1836
0	per1837
1	per1838
1	per1839
2	per184
1	per1840
2	per1841
2	per1842
0	per1843
0	per1844
1	per1845
1	per1846
2	per1847
2	per1848
1	per1849
2	per185
0	per1850
0	per1851
2	per1852
1	per1853
2	per1854
0	per1855
1	per1856
1	per1857
0	per1858
1	per1859
1	per186
2	per1860
1	per1861
1	per1862
1	per1863
2	per1864
2	per1865
0	per1866
0	per1867
1	per1868
0	per1869
0	per187
1	per1870
1	per1871
0	per1872
1	per1873
0	per1874
1	per1875
0	per1876
1	per1877
0	per1878
2	per1879
1	per188
1	per1880
1	per1881
2	per1882
2	per1883
2	per1884
2	per1885
1	per1886
1	per1887
1	per1888
2	per1889
1	per189
1	per1890
1	per1891
1	per1892
2	per1893
1	per1894
0	per1895
2	per1896
1	per1897
1	per1898
0	per1899
1	per19
1	per190
1	per1900
0	per1901
1	per1902
0	per1903
0	per1904
1	per1905
0	per1906
1	per1907
1	per1908
1	per1909
1	per191
0	per1910
2	per1911
1	per1912
1	per1913
1	per1914
1	per1915
0	per1916
1	per1917
1	per1918
2	per1919
0	per192
2	per1920
1	per1921
0	per1922
2	per1923
2	per1924
2	per1925
2	per1926
1	per1927
0	per1928
0	per1929
1	per193
2	per1930
1	per1931
1	per1932
1	per1933
1	per1934
0	per1935
0	per1936
1	per1937
2	per1938
0	per1939
1	per194
1	per1940
0	per1941
1	per1942
2	per1943
1	per1944
0	per1945
1	per1946
0	per1947
2	per1948
2	per1949
1	per195
1	per1950
0	per1951
2	per1952
1	per1953
1	per1954
0	per1955
2	per1956
2	per1957
1	per1958
1	per1959
1	per196
0	per1960
1	per1961
2	per1962
1	per1963
0	per1964
1	per1965
1	per1966
1	per1967
0	per1968
0	per1969
1	per197
0	per1970
1	per1971
1	per1972
0	per1973
0	per1974
2	per1975
1	per1976
2	per1977
2	per1978
2	per1979
2	per198
1	per1980
1	per1981
0	per1982
2	per1983
2	per1984
2	per1985
2	per1986
1	per1987
0	per1988
1	per1989
2	per199
1	per1990
1	per1991
0	per1992
1	per1993
2	per1994
1	per1995
1	per1996
2	per1997
1	per1998
2	per1999
0	per2
2	per20
2	per200
0	per201
1	per202
1	per203
1	per204
1	per205
0	per206
2	per207
2	per208
1	per209
1	per21
1	per210
0	per211
1	per212
2	per213
0	per214
0	per215
2	per216
2	per217
1	per218
2	per219
1	per22
1	per220
0	per221
2	per222
1	per223
1	per224
2	per225
1	per226
1	per227
2	per228
2	per229
1	per23
2	per230
1	per231
1	per232
0	per233
2	per234
0	per235
1	per236
2	per237
0	per238
0	per239
0	per24
0	per240
2	per241
1	per242
1	per243
2	per244
0	per245
2	per246
0	per247
0	per248
1	per249
0	per25
2	per250
1	per251
1	per252
1	per253
2	per254
1	per255
1	per256
1	per257
2	per258
1	per259
1	per26
2	per260
0	per261
1	per262
1	per263
1	per264
1	per265
1	per266
0	per267
0	per268
2	per269
1	per27
1	per270
2	per271
1	per272
2	per273
1	per274
2	per275
1	per276
1	per277
0	per278
1	per279
1	per28
2	per280
0	per281
1	per282
0	per283
1	per284
1	per285
2	per286
2	per287
1	per288
1	per289
1	per29
1	per290
1	per291
2	per292
2	per293
0	per294
1	per295
2	per296
0	per297
2	per298
0	per299
0	per3
2	per30
2	per300
1	per301
0	per302
1	per303
1	per304
2	per305
0	per306
1	per307
2	per308
1	per309
1	per31
0	per310
2	per311
2	per312
1	per313
1	per314
0	per315
0	per316
1	per317
1	per318
1	per319
0	per32
1	per320
1	per321
2	per322
1	per323
0	per324
0	per325
2	per326
1	per327
1	per328
0	per329
2	per33
1	per330
2	per331
1	per332
0	per333
1	per334
1	per335
1	per336
2	per337
1	per338
1	per339
2	per34
2	per340
1	per341
2	per342
2	per343
1	per344
1	per345
1	per346
1	per347
0	per348
0	per349
1	per35
1	per350
0	per351
0	per352
0	per353
1	per354
2	per355
2	per356
1	per357
1	per358
0	per359
1	per36
0	per360
1	per361
1	per362
1	per363
1	per364
1	per365
2	per366
1	per367
2	per368
2	per369
1	per37
0	per370
1	per371
0	per372
1	per373
2	per374
0	per375
1	per376
1	per377
1	per378
0	per379
1	per38
1	per380
2	per381
1	per382
2	per383
1	per384
2	per385
1	per386
2	per387
1	per388
1	per389
2	per39
1	per390
0	per391
2	per392
1	per393
2	per394
2	per395
1	per396
2	per397
2	per398
1	per399
1	per4
1	per40
1	per400
1	per401
1	per402
1	per403
1	per404
1	per405
0	per406
0	per407
0	per408
1	per409
2	per41
2	per410
1	per411
1	per412
1	per413
1	per414
1	per415
1	per416
1	per417
1	per418
1	per419
1	per42
1	per420
1	per421
1	per422
0	per423
1	per424
1	per425
2	per426
1	per427
1	per428
0	per429
1	per43
1	per430
1	per431
2	per432
2	per433
2	per434
1	per435
2	per436
2	per437
0	per438
1	per439
2	per44
1	per440
1	per441
1	per442
1	per443
1	per444
2	per445
1	per446
0	per447
0	per448
1	per449
0	per45
0	per450
2	per451
1	per452
1	per453
1	per454
0	per455
1	per456
1	per457
0	per458
2	per459
1	per46
0	per460
2	per461
1	per462
1	per463
1	per464
0	per465
2	per466
0	per467
1	per468
1	per469
0	per47
2	per470
0	per471
2	per472
1	per473
1	per474
2	per475
1	per476
1	per477
1	per478
1	per479
2	per48
1	per480
1	per481
1	per482
0	per483
1	per484
2	per485
1	per486
2	per487
2	per488
0	per489
0	per49
1	per490
1	per491
2	per492
1	per493
1	per494
1	per495
1	per496
1	per497
1	per498
1	per499
1	per5
0	per50
1	per500
0	per501
1	per502
1	per503
1	per504
2	per505
1	per506
2	per507
2	per508
1	per509
1	per51
2	per510
0	per511
1	per512
2	per513
1	per514
2	per515
2	per516
1	per517
1	per518
1	per519
2	per52
1	per520
2	per521
2	per522
2	per523
1	per524
2	per525
2	per526
1	per527
0	per528
1	per529
0	per53
1	per530
1	per531
2	per532
1	per533
1	per534
0	per535
2	per536
1	per537
1	per538
1	per539
1	per54
1	per540
1	per541
1	per542
1	per543
1	per544
1	per545
2	per546
2	per547
1	per548
0	per549
1	per55
1	per550
1	per551
0	per552
1	per553
2	per554
2	per555
0	per556
1	per557
1	per558
1	per559
1	per56
1	per560
1	per561
1	per562
0	per563
0	per564
1	per565
2	per566
1	per567
0	per568
1	per569
1	per57
1	per570
1	per571
1	per572
1	per573
1	per574
2	per575
1	per576
1	per577
1	per578
0	per579
2	per58
0	per580
2	per581
1	per582
1	per583
0	per584
0	per585
1	per586
1	per587
0	per588
1	per589
1	per59
2	per590
1	per591
1	per592
0	per593
1	per594
2	per595
1	per596
0	per597
2	per598
1	per599
0	per6
1	per60
0	per600
1	per601
1	per602
2	per603
1	per604
2	per605
2	per606
1	per607
1	per608
1	per609
2	per61
0	per610
1	per611
1	per612
2	per613
1	per614
2	per615
1	per616
2	per617
1	per618
1	per619
1	per62
0	per620
0	per621
1	per622
1	per623
2	per624
0	per625
0	per626
2	per627
0	per628
0	per629
1	per63
1	per630
2	per631
0	per632
0	per633
1	per634
2	per635
1	per636
0	per637
1	per638
0	per639
1	per64
2	per640
1	per641
1	per642
2	per643
1	per644
2	per645
0	per646
2	per647
1	per648
1	per649
1	per65
0	per650
0	per651
1	per652
2	per653
1	per654
2	per655
0	per656
1	per657
0	per658
1	per659
1	per66
1	per660
0	per661
2	per662
1	per663
0	per664
1	per665
1	per666
1	per667
2	per668
2	per669
0	per67
1	per670
0	per671
1	per672
1	per673
1	per674
1	per675
1	per676
0	per677
0	per678
2	per679
0	per68
1	per680
1	per681
1	per682
1	per683
2	per684
1	per685
1	per686
0	per687
2	per688
0	per689
2	per69
1	per690
0	per691
0	per692
0	per693
1	per694
1	per695
1	per696
1	per697
1	per698
2	per699
1	per7
2	per70
0	per700
2	per701
2	per702
0	per703
0	per704
1	per705
0	per706
2	per707
1	per708
1	per709
1	per71
1	per710
1	per711
1	per712
1	per713
0	per714
2	per715
1	per716
1	per717
0	per718
0	per719
2	per72
1	per720
0	per721
2	per722
1	per723
1	per724
1	per725
0	per726
1	per727
0	per728
1	per729
1	per73
1	per730
1	per731
1	per732
1	per733
1	per734
1	per735
1	per736
1	per737
0	per738
1	per739
1	per74
2	per740
1	per741
2	per742
2	per743
1	per744
2	per745
1	per746
0	per747
1	per748
1	per749
0	per75
1	per750
2	per751
0	per752
0	per753
1	per754
2	per755
1	per756
0	per757
1	per758
2	per759
0	per76
2	per760
0	per761
0	per762
0	per763
0	per764
1	per765
0	per766
1	per767
1	per768
1	per769
1	per77
2	per770
1	per771
0	per772
1	per773
0	per774
0	per775
0	per776
0	per777
1	per778
1	per779
2	per78
1	per780
1	per781
0	per782
0	per783
0	per784
0	per785
1	per786
0	per787
0	per788
1	per789
2	per79
1	per790
0	per791
2	per792
1	per793
1	per794
1	per795
2	per796
1	per797
0	per798
0	per799
1	per8
1	per80
2	per800
0	per801
1	per802
2	per803
1	per804
2	per805
1	per806
0	per807
1	per808
0	per809
2	per81
1	per810
2	per811
1	per812
0	per813
0	per814
1	per815
0	per816
1	per817
1	per818
1	per819
2	per82
0	per820
2	per821
1	per822
2	per823
2	per824
1	per825
1	per826
1	per827
1	per828
1	per829
1	per83
2	per830
1	per831
1	per832
2	per833
2	per834
1	per835
0	per836
0	per837
1	per838
1	per839
2	per84
0	per840
1	per841
0	per842
1	per843
1	per844
1	per845
0	per846
1	per847
1	per848
1	per849
0	per85
0	per850
0	per851
2	per852
2	per853
2	per854
1	per855
1	per856
0	per857
1	per858
2	per859
1	per86
2	per860
1	per861
0	per862
1	per863
0	per864
1	per865
2	per866
0	per867
1	per868
1	per869
1	per87
0	per870
0	per871
1	per872
2	per873
2	per874
0	per875
0	per876
1	per877
0	per878
1	per879
2	per88
1	per880
0	per881
1	per882
1	per883
0	per884
1	per885
2	per886
0	per887
1	per888
2	per889
1	per89
1	per890
1	per891
0	per892
2	per893
1	per894
1	per895
1	per896
0	per897
0	per898
2	per899
0	per9
1	per90
2	per900
2	per901
1	per902
1	per903
1	per904
1	per905
1	per906
2	per907
1	per908
2	per909
2	per91
2	per910
2	per911
2	per912
1	per913
1	per914
0	per915
1	per916
2	per917
1	per918
2	per919
1	per92
1	per920
0	per921
2	per922
0	per923
1	per924
0	per925
0	per926
1	per927
0	per928
1	per929
1	per93
0	per930
2	per931
0	per932
0	per933
0	per934
2	per935
1	per936
1	per937
1	per938
1	per939
1	per94
2	per940
1	per941
2	per942
1	per943
0	per944
0	per945
1	per946
0	per947
1	per948
1	per949
2	per95
0	per950
1	per951
2	per952
2	per953
1	per954
1	per955
1	per956
2	per957
0	per958
1	per959
1	per96
2	per960
2	per961
1	per962
2	per963
2	per964
2	per965
1	per966
1	per967
0	per968
0	per969
2	per97
0	per970
2	per971
0	per972
2	per973
2	per974
1	per975
1	per976
1	per977
1	per978
2	per979
0	per98
2	per980
2	per981
2	per982
1	per983
1	per984
1	per985
2	per986
0	per987
1	per988
1	per989
0	per99
1	per990
1	per991
1	per992
1	per993
1	per994
2	per995
0	per996
1	per997
2	per998
1	per999
