env	indid
1	per0
0	per1
1	per10
1	per100
1	per1000
0	per1001
1	per1002
0	per1003
1	per1004
0	per1005
0	per1006
0	per1007
1	per1008
1	per1009
1	per101
1	per1010
0	per1011
0	per1012
1	per1013
1	per1014
1	per1015
1	per1016
1	per1017
1	per1018
0	per1019
0	per102
0	per1020
1	per1021
1	per1022
1	per1023
0	per1024
0	per1025
1	per1026
0	per1027
1	per1028
1	per1029
1	per103
1	per1030
0	per1031
0	per1032
1	per1033
1	per1034
0	per1035
0	per1036
1	per1037
0	per1038
1	per1039
0	per104
0	per1040
1	per1041
0	per1042
0	per1043
0	per1044
0	per1045
0	per1046
1	per1047
0	per1048
1	per1049
0	per105
0	per1050
0	per1051
1	per1052
0	per1053
0	per1054
0	per1055
1	per1056
0	per1057
1	per1058
1	per1059
0	per106
0	per1060
0	per1061
1	per1062
1	per1063
1	per1064
1	per1065
1	per1066
1	per1067
0	per1068
0	per1069
0	per107
1	per1070
0	per1071
1	per1072
0	per1073
0	per1074
0	per1075
1	per1076
0	per1077
0	per1078
1	per1079
0	per108
0	per1080
1	per1081
0	per1082
1	per1083
0	per1084
0	per1085
0	per1086
1	per1087
1	per1088
1	per1089
0	per109
0	per1090
1	per1091
0	per1092
1	per1093
1	per1094
1	per1095
0	per1096
1	per1097
1	per1098
0	per1099
1	per11
1	per110
1	per1100
0	per1101
1	per1102
1	per1103
1	per1104
0	per1105
0	per1106
1	per1107
1	per1108
1	per1109
1	per111
1	per1110
1	per1111
0	per1112
0	per1113
1	per1114
0	per1115
1	per1116
0	per1117
0	per1118
1	per1119
0	per112
0	per1120
0	per1121
0	per1122
1	per1123
0	per1124
1	per1125
0	per1126
1	per1127
0	per1128
1	per1129
0	per113
1	per1130
1	per1131
1	per1132
0	per1133
0	per1134
0	per1135
0	per1136
0	per1137
1	per1138
0	per1139
1	per114
1	per1140
0	per1141
1	per1142
0	per1143
1	per1144
1	per1145
1	per1146
1	per1147
1	per1148
1	per1149
1	per115
1	per1150
1	per1151
1	per1152
0	per1153
0	per1154
1	per1155
1	per1156
1	per1157
1	per1158
0	per1159
1	per116
0	per1160
1	per1161
0	per1162
1	per1163
0	per1164
0	per1165
0	per1166
0	per1167
1	per1168
1	per1169
1	per117
0	per1170
0	per1171
1	per1172
1	per1173
0	per1174
1	per1175
1	per1176
1	per1177
0	per1178
0	per1179
1	per118
0	per1180
0	per1181
1	per1182
0	per1183
1	per1184
0	per1185
0	per1186
1	per1187
0	per1188
0	per1189
1	per119
1	per1190
1	per1191
1	per1192
0	per1193
0	per1194
1	per1195
0	per1196
0	per1197
0	per1198
0	per1199
0	per12
0	per120
0	per1200
0	per1201
0	per1202
0	per1203
0	per1204
1	per1205
1	per1206
1	per1207
1	per1208
1	per1209
0	per121
0	per1210
0	per1211
1	per1212
0	per1213
1	per1214
0	per1215
0	per1216
1	per1217
0	per1218
1	per1219
0	per122
1	per1220
0	per1221
0	per1222
0	per1223
1	per1224
0	per1225
0	per1226
1	per1227
1	per1228
1	per1229
1	per123
0	per1230
0	per1231
0	per1232
1	per1233
1	per1234
1	per1235
0	per1236
1	per1237
1	per1238
0	per1239
1	per124
0	per1240
1	per1241
0	per1242
0	per1243
1	per1244
1	per1245
0	per1246
1	per1247
0	per1248
1	per1249
1	per125
0	per1250
1	per1251
1	per1252
0	per1253
0	per1254
0	per1255
0	per1256
1	per1257
0	per1258
1	per1259
1	per126
1	per1260
0	per1261
0	per1262
0	per1263
1	per1264
1	per1265
1	per1266
0	per1267
1	per1268
0	per1269
1	per127
0	per1270
0	per1271
1	per1272
1	per1273
0	per1274
0	per1275
0	per1276
0	per1277
1	per1278
1	per1279
1	per128
1	per1280
0	per1281
0	per1282
0	per1283
0	per1284
1	per1285
0	per1286
1	per1287
1	per1288
1	per1289
0	per129
0	per1290
0	per1291
0	per1292
0	per1293
1	per1294
0	per1295
1	per1296
1	per1297
0	per1298
1	per1299
0	per13
1	per130
1	per1300
0	per1301
0	per1302
0	per1303
1	per1304
0	per1305
0	per1306
0	per1307
0	per1308
1	per1309
1	per131
0	per1310
1	per1311
0	per1312
1	per1313
1	per1314
0	per1315
1	per1316
1	per1317
0	per1318
0	per1319
1	per132
0	per1320
1	per1321
1	per1322
0	per1323
0	per1324
0	per1325
1	per1326
1	per1327
0	per1328
0	per1329
1	per133
1	per1330
0	per1331
1	per1332
1	per1333
0	per1334
1	per1335
0	per1336
1	per1337
1	per1338
0	per1339
0	per134
1	per1340
0	per1341
1	per1342
0	per1343
1	per1344
1	per1345
0	per1346
1	per1347
0	per1348
0	per1349
1	per135
0	per1350
1	per1351
0	per1352
0	per1353
1	per1354
1	per1355
0	per1356
1	per1357
0	per1358
1	per1359
1	per136
1	per1360
1	per1361
0	per1362
1	per1363
1	per1364
0	per1365
0	per1366
1	per1367
1	per1368
0	per1369
1	per137
0	per1370
0	per1371
1	per1372
0	per1373
0	per1374
0	per1375
1	per1376
1	per1377
0	per1378
0	per1379
1	per138
1	per1380
0	per1381
0	per1382
1	per1383
1	per1384
1	per1385
1	per1386
0	per1387
0	per1388
1	per1389
1	per139
1	per1390
0	per1391
1	per1392
1	per1393
0	per1394
1	per1395
1	per1396
1	per1397
1	per1398
0	per1399
0	per14
1	per140
1	per1400
1	per1401
0	per1402
0	per1403
0	per1404
0	per1405
0	per1406
1	per1407
1	per1408
0	per1409
0	per141
1	per1410
0	per1411
0	per1412
1	per1413
1	per1414
1	per1415
0	per1416
0	per1417
1	per1418
0	per1419
0	per142
0	per1420
1	per1421
0	per1422
0	per1423
0	per1424
0	per1425
0	per1426
0	per1427
0	per1428
1	per1429
0	per143
1	per1430
0	per1431
1	per1432
1	per1433
0	per1434
1	per1435
0	per1436
0	per1437
0	per1438
0	per1439
1	per144
1	per1440
1	per1441
0	per1442
1	per1443
1	per1444
1	per1445
0	per1446
1	per1447
0	per1448
1	per1449
0	per145
1	per1450
0	per1451
1	per1452
0	per1453
1	per1454
0	per1455
0	per1456
0	per1457
1	per1458
0	per1459
1	per146
1	per1460
0	per1461
1	per1462
0	per1463
0	per1464
0	per1465
0	per1466
1	per1467
0	per1468
1	per1469
0	per147
0	per1470
1	per1471
1	per1472
0	per1473
0	per1474
1	per1475
1	per1476
0	per1477
1	per1478
1	per1479
0	per148
0	per1480
0	per1481
1	per1482
0	per1483
0	per1484
0	per1485
1	per1486
0	per1487
0	per1488
1	per1489
0	per149
0	per1490
0	per1491
0	per1492
0	per1493
1	per1494
0	per1495
1	per1496
0	per1497
1	per1498
0	per1499
0	per15
0	per150
0	per1500
1	per1501
0	per1502
0	per1503
0	per1504
0	per1505
0	per1506
1	per1507
0	per1508
0	per1509
1	per151
1	per1510
0	per1511
1	per1512
1	per1513
0	per1514
0	per1515
1	per1516
0	per1517
0	per1518
0	per1519
1	per152
0	per1520
1	per1521
1	per1522
1	per1523
1	per1524
0	per1525
1	per1526
0	per1527
1	per1528
0	per1529
1	per153
0	per1530
1	per1531
1	per1532
1	per1533
1	per1534
0	per1535
1	per1536
0	per1537
1	per1538
0	per1539
1	per154
